"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,268683,"Jefferson Park","CO","Denver","Denver","Denver",3801,470300,0.00341369746106251,0.0181857544923144,0.0868962329558585,0.0969512169194438,,"2017-05","2017-Q2",470300,0,"2017-05"
2017-05-31,268329,"Natomas Crossing","CA","Sacramento","Sacramento","Sacramento",3802,365300,0.00661339211904106,0.0327961549335595,0.102626018714156,0.129966040542154,-0.0119583651194789,"2005-12","2005-Q4",443500,-0.176324689966178,"2004-10"
2017-05-31,269881,"Parklane","MD","Baltimore","Baltimore City","Baltimore",3803,83000,0.00241545893719807,0.0600255427841635,0.133879781420765,0.0536962800865464,,"2010-08","2010-Q3",89200,-0.0695067264573991,
2017-05-31,276568,"South Plaza","MO","Kansas City","Jackson","Kansas City",3804,283800,0.00852878464818763,0.0204962243797195,0.0873563218390804,0.0561162573462886,,"2017-05","2017-Q2",283800,0,"2017-05"
2017-05-31,274061,"Houghton","AZ","Tucson","Pima","Tucson",3805,252300,0.000396510705789056,-0.00512618296529968,0.0447204968944099,0.0481861557152203,-0.0208888863812242,"2006-08","2006-Q3",327100,-0.228676245796393,"2005-02"
2017-05-31,343466,"Paul A. Diggs","FL","Lakeland","Polk","Lakeland",3806,58200,0.0157068062827225,0.043010752688172,0.262472885032538,0.105171446523889,-0.038181819198522,"2007-09","2007-Q3",89000,-0.346067415730337,"2005-04"
2017-05-31,182418,"Kirkland","NC","Wilmington","New Hanover","Wilmington",3807,271000,0.00706057227796358,0.0214851111948737,0.0230275575688939,0.0357953834461524,-0.00616917041727438,"2006-12","2006-Q4",295900,-0.0841500506928016,"2006-05"
2017-05-31,269489,"Gray's Woods","IA","Des Moines","Polk","Des Moines",3808,95700,-0.00208550573514077,-0.0134020618556701,0.0148462354188759,0.0306291470613873,0.00351529619299273,"2017-01","2017-Q1",98400,-0.0274390243902439,"2016-10"
2017-05-31,272795,"Arlington Park","IN","Fort Wayne","Allen","Fort Wayne",3809,173000,-0.00574712643678161,0.025489033787789,0.0218546958062611,0.0209025790588409,0.00517309141566757,"2017-04","2017-Q2",174000,-0.00574712643678161,"2017-04"
2017-05-31,274776,"Northern Barton Heights","VA","Richmond","Richmond City","Richmond",3810,179500,0.00842696629213483,0.0146975692481628,0.11698817672682,0.0831474788928448,0.0249452761897899,"2017-05","2017-Q2",179500,0,"2017-05"
2017-05-31,163753,"West Forest Park","MD","Baltimore","Baltimore City","Baltimore",3811,142300,-0.0118055555555556,-0.00210378681626928,0.121355397951143,0.0462652657498075,,"2017-03","2017-Q1",145200,-0.0199724517906336,"2017-02"
2017-05-31,274488,"Medical Center Area","TX","Houston","Harris","Houston",3812,352800,0.0199479618386817,0.0255813953488372,-0.135717785399314,0.0306975251139707,0.0140024868233997,"2016-05","2016-Q2",408200,-0.135717785399314,"2013-10"
2017-05-31,416399,"Palo Verde","CA","San Jose","Santa Clara","Palo Alto",3813,2536400,0.00738740169989674,0.0228656692341816,-0.00267379679144385,0.126238452363054,0.0678559926828399,"2016-03","2016-Q1",2569600,-0.012920298879203,"2016-02"
2017-05-31,275647,"Swansboro West","VA","Richmond","Richmond City","Richmond",3814,89400,0.0217142857142857,0.0431738623103851,0.171690694626474,0.0439518081067485,-0.00994788146805314,"2007-10","2007-Q4",102200,-0.125244618395303,"2006-02"
2017-05-31,269361,"Lake Claire","GA","Atlanta","Fulton","Atlanta",3815,523700,-0.00795605228262929,-0.0196555597154624,0.0718379042161277,0.0782639147845998,0.0403218291660326,"2017-02","2017-Q1",534200,-0.0196555597154624,"2016-11"
2017-05-31,272081,"Dudgeon-Monroe","WI","Madison","Dane","Madison",3816,397500,0.0081156479837687,0.0381300600679028,0.114381833473507,0.0552366650019389,0.0265397374226786,"2017-05","2017-Q2",397500,0,"2017-05"
2017-05-31,270264,"The Hill","MO","St. Louis","Saint Louis City","Saint Louis",3817,139700,-0.000715307582260372,-0.00142959256611866,0.101735015772871,0.0402233486626862,0.00660449685850528,"2017-03","2017-Q1",140100,-0.00285510349750178,"2017-02"
